feature,contribution,extreme_anomaly_rate,overall_anomaly_rate
minute,0.1290743155149935,0.23076923076923078,0.1016949152542373
hourly_transaction_count,0.06497175141242936,0.16666666666666666,0.1016949152542373
time_since_last,0.06497175141242936,0.16666666666666666,0.1016949152542373
hour,0.0483050847457627,0.15,0.1016949152542373
sp_TEST_SP2,0.0,0.1016949152542373,0.1016949152542373
sp_TEST_SP1,0.0,0.1016949152542373,0.1016949152542373
sp_provider,0.0,0.1016949152542373,0.1016949152542373
response_id_length,0.0,0.1016949152542373,0.1016949152542373
request_id_length,0.0,0.1016949152542373,0.1016949152542373
is_success,0.0,0.1016949152542373,0.1016949152542373
is_complete,0.0,0.1016949152542373,0.1016949152542373
is_business_hours,0.0,0.1016949152542373,0.1016949152542373
is_weekend,0.0,0.1016949152542373,0.1016949152542373
day_of_week,0.0,0.1016949152542373,0.1016949152542373
sp_nan,0.0,0.1016949152542373,0.1016949152542373
transaction_duration_filled,-0.023263542705217688,0.0784313725490196,0.1016949152542373
duration_z_score,-0.023263542705217688,0.0784313725490196,0.1016949152542373
